unique_carrier,origin,destination,is_delayed,departure_time,month,day_of_month,day_of_week,distance
WP,PDM,QTP,N,930,M-8,D-28,W-1,386
I9,RJB,POI,N,2118,M-7,D-15,W-5,910
BN,OJO,CVS,N,925,M-2,D-22,W-3,319
HH,IPR,HSR,Y,1345,M-11,D-19,W-6,462
XJ,MQJ,YBR,N,1528,M-9,D-26,W-1,261
WT,OYT,RJB,N,655,M-6,D-17,W-5,1709
HL,YMV,MGF,N,1058,M-2,D-21,W-1,699
OZ,QTX,PDM,N,1812,M-10,D-4,W-2,308
NB,TCZ,OMH,N,1645,M-7,D-24,W-7,1552
TT,QFT,HSR,N,949,M-7,D-19,W-3,733
IQ,RIN,TVQ,Y,1729,M-3,D-4,W-5,732
WT,TCZ,RJB,N,608,M-6,D-6,W-2,349
NB,PRI,CLO,N,1521,M-8,D-23,W-3,323
AG,LBQ,HFF,N,1535,M-9,D-25,W-1,100
HH,QTX,ULX,N,1150,M-6,D-13,W-1,370
RQ,CBT,TVQ,Y,1905,M-6,D-14,W-2,214
HL,MGF,PMJ,N,1520,M-11,D-28,W-2,383
NB,QTX,ULX,N,1353,M-11,D-18,W-5,370
OZ,HSR,PFI,Y,1225,M-6,D-10,W-5,438
XJ,UNO,JNS,Y,1356,M-3,D-16,W-3,284
NB,OMY,POI,N,1745,M-1,D-27,W-5,1442
TT,PVQ,RIN,N,1038,M-4,D-9,W-6,551
WT,HSR,OYT,Y,1903,M-4,D-23,W-6,1197
OZ,QFT,RVN,Y,1839,M-8,D-30,W-3,501
JG,TVQ,YPH,N,1200,M-11,D-21,W-2,406
MH,QTX,JNS,N,657,M-9,D-3,W-6,2454
BN,QFT,OPU,N,615,M-12,D-7,W-3,1020
HL,MGF,VWQ,N,943,M-5,D-5,W-4,646
NB,VWQ,RTQ,N,1400,M-3,D-30,W-3,237
OZ,PTB,QTX,N,1225,M-1,D-2,W-7,109
NB,RTQ,JQU,N,1305,M-9,D-2,W-5,562
HH,CIQ,QTX,N,931,M-11,D-9,W-4,109
HL,MGF,YTR,N,938,M-1,D-8,W-6,388
HH,TCZ,RJB,Y,1049,M-8,D-23,W-3,349
RQ,TVQ,CLO,Y,2014,M-12,D-23,W-5,134
JG,OLV,TVQ,N,1227,M-3,D-6,W-1,952
OZ,HSR,JGG,N,1222,M-7,D-6,W-4,273
WT,RJB,PDM,Y,2109,M-9,D-14,W-4,948
IQ,SRW,TVQ,N,1102,M-10,D-8,W-6,356
AG,ULX,VWP,N,1813,M-4,D-14,W-5,110
HH,UPU,PQM,N,648,M-4,D-26,W-3,541
OZ,RIN,VWQ,N,902,M-11,D-2,W-4,237
TT,PDM,PBT,Y,1933,M-6,D-6,W-1,342
LT,LBQ,HFF,N,801,M-7,D-15,W-6,100
HH,MYM,PIH,N,627,M-7,D-21,W-5,153
TT,HSR,YBR,N,745,M-6,D-1,W-3,177
RQ,TVQ,MQV,N,1656,M-1,D-24,W-2,227
BN,RMT,RVN,N,1601,M-1,D-17,W-2,405
RQ,DIE,MGF,N,1449,M-7,D-21,W-4,589
RQ,MOL,TVQ,N,821,M-9,D-16,W-6,446
IQ,TVQ,SHM,N,1249,M-12,D-5,W-1,749
WP,MQV,UCY,N,929,M-12,D-24,W-6,590
HH,OSA,QTX,N,1620,M-6,D-8,W-4,267
LU,ULX,MOL,N,1030,M-3,D-19,W-6,1671
TT,OMH,RIN,N,1208,M-8,D-1,W-2,984
TT,SPN,RIN,Y,2127,M-8,D-5,W-5,1017
LU,RJB,QTP,N,1510,M-4,D-6,W-3,629
AG,MQV,CNY,N,1244,M-11,D-7,W-2,361
AG,MQV,YTR,N,626,M-1,D-3,W-2,321
HH,PIH,SBH,N,2019,M-6,D-22,W-3,192
MH,PTV,JNS,Y,1546,M-7,D-19,W-3,1569
IQ,ORN,OPU,N,912,M-8,D-10,W-4,349
AG,MQJ,YTR,Y,1435,M-6,D-19,W-1,288
JG,TJX,TVQ,Y,1345,M-12,D-22,W-5,500
MH,PTV,YTL,N,1239,M-8,D-27,W-7,191
WT,YTR,CHP,N,1808,M-1,D-15,W-6,413
IQ,SYM,TVQ,N,1008,M-9,D-27,W-3,481
OZ,UYT,RIN,N,1357,M-11,D-19,W-6,673
NB,QTX,PDM,N,1323,M-3,D-9,W-4,308
WP,OMH,RMT,N,1312,M-9,D-3,W-7,759
XJ,MQJ,LUB,N,1550,M-3,D-30,W-4,425
HH,HSR,MQJ,N,1448,M-8,D-17,W-4,316
JG,VUT,SRW,N,1510,M-5,D-13,W-5,587
NB,LHW,CBT,N,950,M-1,D-18,W-2,670
WT,RJB,PDM,N,833,M-7,D-13,W-3,948
JG,TVQ,CZE,Y,1748,M-3,D-15,W-3,238
NB,QTX,HTE,Y,1920,M-12,D-18,W-7,337
NB,ULX,HBV,Y,2215,M-5,D-22,W-1,325
NB,RTQ,LHW,N,617,M-11,D-22,W-3,239
OZ,RIN,HEM,N,1139,M-2,D-1,W-2,175
XJ,MQJ,RTA,N,1222,M-6,D-26,W-7,162
NB,CBT,VUT,N,1050,M-2,D-2,W-4,612
OZ,HSR,FSC,N,1058,M-8,D-21,W-1,174
OZ,PTB,QTX,N,1657,M-6,D-1,W-3,109
JG,TVQ,TCJ,N,923,M-2,D-2,W-4,692
HH,RJB,UPU,Y,1226,M-8,D-12,W-6,776
HH,QTX,CIQ,N,1354,M-6,D-16,W-4,109
TT,TWP,HSR,N,1827,M-3,D-21,W-1,978
WP,RMT,OMH,N,622,M-12,D-5,W-1,759
BN,RVN,HSR,N,1159,M-7,D-3,W-7,235
NB,LHW,CBT,N,630,M-11,D-15,W-2,670
XJ,YBR,JNS,N,735,M-11,D-10,W-4,644
WT,TCZ,RJB,N,612,M-6,D-5,W-1,349
BN,OPA,OPU,N,1325,M-3,D-24,W-4,1040
MH,JNS,PIH,Y,1610,M-10,D-31,W-1,2565
NB,CNY,PRI,N,1305,M-12,D-13,W-2,495
NB,VUT,DTX,N,1714,M-12,D-31,W-7,180
RQ,PTB,TVQ,N,1300,M-4,D-16,W-7,1891
BN,RVN,PJT,Y,956,M-6,D-25,W-6,1927
TP,TBM,MRG,N,1516,M-5,D-27,W-6,160
TT,UPU,HSR,N,1102,M-2,D-8,W-3,1652
BN,OMY,OPU,N,1831,M-8,D-21,W-1,393
XJ,YTL,CIQ,N,1733,M-3,D-22,W-2,1428
WP,MQV,YBR,N,1946,M-4,D-16,W-7,428
HL,HOT,MGF,N,1510,M-5,D-10,W-3,614
BN,OPU,TVQ,N,1516,M-11,D-15,W-2,906
LT,LBQ,HFF,N,1755,M-8,D-27,W-7,100
NB,ORN,MQJ,N,1950,M-7,D-24,W-1,307
IQ,TVQ,ULQ,N,1239,M-5,D-13,W-6,665
NB,PTV,ULX,N,1905,M-5,D-12,W-4,843
BN,OYT,OJO,Y,1655,M-10,D-4,W-2,860
I9,RJB,TCZ,N,832,M-12,D-12,W-1,349
TT,PDW,DIE,N,1838,M-2,D-12,W-6,1597
BN,MHP,OPU,N,626,M-2,D-15,W-2,725
JG,CVS,TVQ,N,1839,M-5,D-26,W-4,449
JG,JGG,TVQ,N,1934,M-10,D-31,W-1,350
OZ,PTB,QTX,N,645,M-11,D-4,W-5,109
TT,CBT,RIN,N,1401,M-8,D-30,W-2,631
NB,POI,HBV,Y,1145,M-11,D-14,W-1,389
RQ,RMT,PQM,N,1655,M-8,D-2,W-2,1851
HH,MUS,PQM,Y,1554,M-3,D-5,W-6,320
HH,HTE,PQM,N,1615,M-7,D-2,W-6,588
RQ,VUT,QFT,N,1226,M-1,D-27,W-5,1011
TT,PTB,HSR,N,637,M-6,D-25,W-6,1723
XJ,QIV,YTL,Y,1614,M-4,D-12,W-3,201
TT,RIN,PBT,Y,1430,M-4,D-22,W-6,1205
JG,VWQ,TVQ,N,1415,M-12,D-27,W-3,674
TT,QFT,OYT,N,1418,M-6,D-19,W-7,1097
BN,ULX,RVN,N,959,M-10,D-31,W-1,1671
TT,HSR,PVQ,Y,1604,M-5,D-26,W-4,258
NB,UGR,VUT,N,1830,M-4,D-26,W-3,1137
BN,RMT,OPU,N,1939,M-6,D-29,W-4,931
BN,ITS,OPU,N,639,M-1,D-9,W-7,223
BN,OPU,OEJ,N,709,M-2,D-10,W-4,297
TT,OYT,ULQ,N,854,M-5,D-9,W-1,1013
WT,OPU,HSR,N,1344,M-6,D-29,W-3,334
NB,RTQ,TOT,N,1120,M-2,D-12,W-6,324
HL,CLO,QFT,N,1630,M-2,D-19,W-7,866
WP,CRQ,ULQ,Y,1644,M-6,D-20,W-1,196
RQ,TVQ,PDM,N,1600,M-7,D-27,W-3,2116
BN,YBR,RVN,Y,1207,M-4,D-5,W-3,231
WP,ULQ,IQQ,N,2037,M-9,D-25,W-1,992
OZ,QCC,RIN,N,655,M-3,D-30,W-4,282
C6,DIE,QFC,N,1250,M-10,D-6,W-5,2465
WP,ULQ,OYT,Y,1812,M-10,D-11,W-3,1013
WT,CVG,HSR,N,637,M-3,D-1,W-2,763
NB,PTB,HTE,N,708,M-2,D-10,W-4,446
WP,UYV,OMH,N,1338,M-2,D-16,W-4,834
WP,MQV,VUT,N,1409,M-4,D-13,W-4,508
HH,PBT,QTX,N,1427,M-8,D-7,W-7,36
OZ,PDM,QTX,N,900,M-2,D-25,W-5,308
JG,TVQ,LPG,N,1920,M-10,D-19,W-3,151
NB,CBT,LHW,N,1335,M-2,D-8,W-3,670
RQ,CHP,MGF,N,1256,M-6,D-19,W-7,752
WT,CHP,RJB,N,1057,M-11,D-22,W-3,1754
RQ,PQM,TVQ,N,1004,M-10,D-4,W-3,1589
HH,OMY,PQM,N,1148,M-5,D-26,W-5,919
NB,PDM,QTX,N,751,M-9,D-20,W-3,308
RQ,ULX,PQM,N,939,M-10,D-1,W-7,507
NB,VWQ,RTQ,N,1947,M-5,D-10,W-3,237
BN,RIN,RVN,N,558,M-8,D-18,W-4,987
AG,YTR,JNS,Y,1315,M-2,D-13,W-1,213
LU,DIE,QTP,N,2029,M-9,D-4,W-7,2248
TP,TBM,CJV,N,1822,M-4,D-30,W-7,399
AG,ULX,PBT,N,1804,M-8,D-8,W-2,338
OZ,HSR,VGM,N,909,M-5,D-12,W-4,224
IQ,TVQ,DTX,Y,1455,M-3,D-9,W-3,270
JG,TVQ,OMY,Y,2131,M-8,D-16,W-3,692
HL,INT,MGF,N,541,M-6,D-7,W-2,136
OZ,RMT,CBT,N,1909,M-11,D-26,W-6,562
NB,ULX,HTE,N,632,M-8,D-21,W-1,646
RQ,IQQ,CRQ,N,1950,M-7,D-25,W-1,1173
HH,HSR,FSC,N,648,M-2,D-19,W-7,174
HL,OJO,MGF,N,720,M-1,D-17,W-1,403
BN,FPH,RVN,N,859,M-1,D-10,W-1,460
TT,RIN,HSR,N,1723,M-4,D-29,W-6,802
JG,MQV,MGF,N,830,M-7,D-27,W-3,335
XJ,YTL,RTQ,N,1627,M-9,D-30,W-6,217
MH,YTL,RJB,N,929,M-3,D-11,W-6,861
RQ,CHP,TVQ,N,1453,M-3,D-28,W-2,946
JG,VHQ,TVQ,N,650,M-9,D-14,W-4,549
NB,PTV,RTQ,N,735,M-11,D-3,W-5,248
MH,JNS,PTV,N,847,M-8,D-19,W-5,1569
WT,EHT,QTX,N,2039,M-6,D-11,W-7,2504
IQ,TVQ,IBV,N,2050,M-1,D-25,W-2,644
NB,OMY,QTP,N,1253,M-12,D-29,W-5,1140
XJ,VWP,YTL,N,1416,M-3,D-6,W-7,936
HH,MGF,HSR,N,953,M-12,D-11,W-7,264
RQ,PTB,TVQ,N,1503,M-7,D-2,W-7,1891
LU,ULX,HBV,N,2141,M-5,D-2,W-1,325
NB,QTX,HTE,Y,2100,M-11,D-30,W-4,337
WT,RJB,HTE,Y,1911,M-5,D-12,W-4,957
TT,HEM,RIN,N,807,M-11,D-20,W-7,175
NB,VUT,ULQ,N,1055,M-7,D-29,W-6,920
NB,LHW,QTP,N,1315,M-1,D-26,W-4,1235
RQ,MGF,OMH,N,1928,M-4,D-17,W-7,756
OZ,RIN,OEJ,N,631,M-8,D-17,W-3,853
C6,QFT,IQQ,N,552,M-2,D-17,W-4,1076
WT,QTP,RJB,N,852,M-8,D-8,W-1,629
HH,PQM,MUS,N,1352,M-7,D-31,W-7,320
JG,PQM,CKB,N,2125,M-1,D-10,W-2,347
LU,CHP,ULX,N,925,M-3,D-4,W-5,2300
HH,RJB,MYR,N,1007,M-6,D-13,W-1,692
HL,CBT,DIE,N,1705,M-9,D-24,W-7,766
JG,OLV,TVQ,N,809,M-10,D-13,W-5,952
WP,ULQ,PVQ,Y,1716,M-2,D-7,W-1,813
NB,PTV,ULX,N,1625,M-9,D-7,W-3,843
RQ,TVQ,PTG,N,1225,M-5,D-25,W-3,215
XJ,YTL,CSH,N,1440,M-2,D-6,W-1,308
OZ,QYV,RIN,Y,1726,M-4,D-7,W-5,304
HL,SRW,DIE,N,1455,M-4,D-18,W-2,426
HH,OJO,HSR,Y,1809,M-10,D-4,W-3,491
XJ,RIN,YTL,N,1228,M-3,D-28,W-1,224
AG,SHM,HSR,Y,1431,M-7,D-18,W-2,528
TT,RIN,HSR,N,1954,M-11,D-1,W-2,802
NB,LHW,LSQ,N,1920,M-6,D-28,W-2,276
XJ,YTL,OIJ,N,1036,M-3,D-17,W-5,316
RQ,MGF,QTX,N,856,M-5,D-27,W-5,1900
BN,QTP,OPU,N,649,M-7,D-15,W-5,1300
NB,POI,PJT,N,2055,M-11,D-21,W-2,605
I9,RJB,IQQ,Y,740,M-8,D-21,W-1,1703
C6,DIE,PDW,N,707,M-11,D-2,W-3,1597
TP,PJT,HBV,Y,811,M-11,D-12,W-6,956
AG,FPU,YTR,N,555,M-1,D-2,W-1,383
RQ,RMT,QFT,N,929,M-8,D-14,W-1,214
LT,HFF,LBQ,N,727,M-2,D-17,W-5,100
WP,ULQ,SPN,N,948,M-6,D-12,W-1,992
BN,OMH,RVN,N,1346,M-3,D-22,W-2,957
NB,HTE,CWS,N,1845,M-6,D-6,W-1,325
HL,OMH,OMY,N,1205,M-1,D-19,W-4,1072
LU,OPU,QTP,N,1445,M-6,D-18,W-6,1300
NB,IQQ,CBT,N,1210,M-6,D-20,W-2,793
NB,CRQ,CBT,N,1045,M-1,D-28,W-5,852
MH,YTL,SRW,N,1021,M-11,D-4,W-6,1043
NB,VUT,DTX,N,1052,M-12,D-18,W-1,180
RQ,TVQ,PRI,N,2136,M-1,D-12,W-3,321
RQ,PRI,TVQ,Y,1439,M-7,D-13,W-3,321
XJ,DTX,YTL,N,925,M-7,D-31,W-7,817
RQ,TVQ,DTX,N,854,M-2,D-26,W-6,270
RQ,MGF,PJT,N,830,M-4,D-5,W-3,1964
NB,ULX,HTE,N,1515,M-6,D-30,W-4,646
WP,QTP,PJT,N,930,M-4,D-13,W-4,866
NB,QTX,TCZ,N,930,M-2,D-22,W-3,677
WP,TVQ,ULX,N,1052,M-2,D-8,W-3,1587
AG,HSR,IPR,Y,838,M-10,D-6,W-5,462
HL,MGF,MLP,Y,1010,M-10,D-20,W-4,497
WT,RJB,QTP,N,2129,M-7,D-16,W-7,629
HH,PQM,SBH,N,809,M-9,D-28,W-3,422
WP,MQV,TCJ,N,1949,M-4,D-9,W-7,481
RQ,JNS,TVQ,N,1111,M-4,D-12,W-2,745
BN,RVN,MQV,N,1354,M-5,D-25,W-4,500
RQ,PIH,PQM,N,1309,M-3,D-2,W-4,599
I9,RJB,CBT,N,1447,M-11,D-20,W-1,1013
MH,MQJ,QTX,N,1703,M-8,D-19,W-5,2053
TP,QTP,PJT,N,1645,M-11,D-14,W-2,866
BN,OPU,OMH,N,1908,M-2,D-23,W-4,1310
TP,URX,QTX,N,652,M-10,D-23,W-7,834
TP,QTX,URX,Y,2043,M-3,D-12,W-7,834
HH,OHR,PIH,N,459,M-12,D-27,W-3,78
WT,UYV,RJB,Y,1734,M-3,D-27,W-1,1290
WT,RJB,ULQ,Y,1141,M-9,D-10,W-7,1557
TT,RIN,CBT,Y,1557,M-8,D-5,W-5,631
XJ,YTL,JQU,N,1217,M-3,D-26,W-7,667
BN,PIH,LBQ,N,1522,M-7,D-1,W-5,2398
XJ,MGF,YTL,N,1214,M-6,D-16,W-5,871
LU,QTP,ULX,N,2349,M-1,D-31,W-1,256
OZ,SRW,CRQ,N,633,M-6,D-10,W-5,532
OZ,HSR,MLT,Y,2000,M-11,D-17,W-5,501
TT,OYT,DIE,N,1357,M-11,D-16,W-4,1090
XJ,PLG,YTL,N,1050,M-2,D-5,W-6,192
TT,QFT,HSR,N,1633,M-11,D-20,W-1,733
TT,ULQ,RIN,N,1339,M-4,D-23,W-6,1302
HH,QTX,ITV,N,1000,M-7,D-9,W-7,209
HL,MGF,JSY,N,1503,M-10,D-9,W-7,316
NB,QTP,SBH,Y,2225,M-6,D-16,W-4,345
RQ,MGF,VUT,N,1025,M-4,D-7,W-5,773
WT,HSR,UYV,N,1818,M-6,D-7,W-2,412
HH,HSR,VAP,N,1852,M-10,D-23,W-1,475
JG,PAS,TVQ,N,1720,M-12,D-30,W-6,793
MH,JNS,SPN,N,642,M-4,D-30,W-7,1068
WP,RVN,ULX,N,1923,M-12,D-28,W-4,1671
HH,MHP,PQM,N,1835,M-5,D-15,W-7,410
C6,CHP,QFC,N,1652,M-1,D-17,W-2,2602
BN,OPU,CNY,Y,1921,M-8,D-3,W-3,936
AG,MQV,PVQ,Y,1745,M-1,D-13,W-5,575
NB,PTB,QTP,Y,952,M-7,D-1,W-5,258
NB,CBT,ULX,N,715,M-10,D-7,W-5,1448
C6,DIE,PDW,N,1051,M-7,D-21,W-5,1597
OZ,QFT,RVN,N,2051,M-3,D-18,W-5,501
WP,PIH,ULQ,N,2157,M-4,D-25,W-1,2521
WT,UYV,HSR,Y,1259,M-12,D-16,W-5,412
NB,LHW,PVQ,N,1245,M-2,D-2,W-3,687
BN,OPU,SPN,N,1315,M-11,D-23,W-4,1416
WT,RJB,HEM,N,2114,M-12,D-23,W-5,495
WP,CHP,MQV,N,738,M-6,D-13,W-1,728
NB,CBT,PTB,N,818,M-12,D-21,W-4,1751
TT,PTB,RIN,N,626,M-10,D-22,W-6,1171
TT,RVN,HSR,N,1018,M-8,D-17,W-4,235
MH,MQJ,RJB,N,1708,M-12,D-8,W-4,1201
NB,CBT,QTP,N,756,M-11,D-25,W-6,1588
BN,FSC,OPU,N,625,M-7,D-1,W-6,252
C6,OMH,DIE,N,1634,M-10,D-22,W-7,944
BN,OPU,PTB,N,2108,M-6,D-21,W-3,1532
WT,HFF,PIH,N,2327,M-11,D-16,W-3,2338
HH,ITV,QTP,N,631,M-4,D-11,W-2,258
IQ,QFT,TVQ,N,1300,M-10,D-20,W-4,761
WP,QTX,ULQ,N,2216,M-10,D-2,W-7,2401
IQ,TVQ,OYT,N,1952,M-6,D-24,W-5,595
WP,OMH,ULQ,N,1218,M-9,D-29,W-5,861
NB,ORN,ULX,N,850,M-6,D-20,W-2,1444
I9,RJB,QTP,N,703,M-1,D-14,W-6,629
OZ,JNS,CHP,N,946,M-4,D-19,W-3,200
OZ,RIN,FSE,N,835,M-3,D-21,W-2,134
BN,ORN,OPU,N,656,M-8,D-5,W-5,349
JG,OJY,TVQ,N,845,M-9,D-14,W-3,267
WP,MLP,RMT,N,1038,M-6,D-23,W-4,444
NB,RTQ,TOT,Y,2116,M-6,D-1,W-4,324
RQ,FPH,TVQ,N,1839,M-2,D-25,W-5,306
WT,HOT,RJB,N,853,M-6,D-27,W-2,472
TT,RMT,OYT,N,837,M-8,D-1,W-2,920
HH,MGF,HSR,Y,1810,M-12,D-16,W-6,264
WP,HBV,ULX,N,1224,M-7,D-13,W-4,325
TT,OMH,PDW,N,819,M-6,D-20,W-2,1189
HH,PTB,QTX,N,939,M-6,D-25,W-6,109
C6,HTE,DIE,N,1123,M-9,D-18,W-7,2576
LT,LBQ,EHT,N,1253,M-4,D-13,W-4,163
TP,ITY,TBM,Y,2149,M-8,D-16,W-3,261
BN,OPU,RVN,Y,2200,M-9,D-9,W-6,528
I9,PDM,RJB,N,1042,M-10,D-20,W-4,948
WP,SPN,RMT,N,1755,M-1,D-12,W-3,892
WP,MOL,ULX,N,1729,M-11,D-20,W-1,1671
TT,RIN,PJT,N,1447,M-11,D-17,W-4,1660
WT,QFT,HSR,N,1152,M-8,D-23,W-3,733
WT,VWP,RJB,N,1330,M-10,D-16,W-7,639
NB,RTQ,TWP,N,1607,M-8,D-11,W-5,189
TT,PTB,PVQ,N,642,M-11,D-15,W-2,1558
NB,VUT,OMY,N,1708,M-7,D-7,W-5,1048
TP,PJT,TBM,N,1813,M-9,D-22,W-5,1449
RQ,POI,PQM,N,626,M-12,D-20,W-3,532
OZ,MOL,HSR,N,1559,M-12,D-18,W-1,296
BN,FVI,OPU,N,1344,M-2,D-26,W-6,887
BN,RVN,MOL,N,848,M-11,D-1,W-3,155
TT,RIN,YMV,N,1558,M-11,D-4,W-6,328
JG,TVQ,TGQ,Y,1825,M-10,D-7,W-5,164
NB,PTV,QTP,Y,906,M-10,D-10,W-2,1069
WT,PIH,HBV,N,1855,M-4,D-14,W-5,363
WT,HSR,TQC,N,1837,M-2,D-2,W-3,723
JG,PLG,MGF,N,1229,M-6,D-14,W-2,686
HL,IQQ,OMH,N,1955,M-1,D-9,W-7,178
HL,MGF,PCB,N,854,M-1,D-19,W-3,203
IQ,YMV,TVQ,N,1616,M-6,D-8,W-4,781
MH,YTL,ULX,N,1734,M-9,D-6,W-2,1009
I9,RJB,CBT,Y,1147,M-6,D-24,W-6,1013
NB,VUT,PVQ,Y,1900,M-1,D-3,W-1,869
NB,ORN,LHW,N,1426,M-9,D-15,W-5,937
TT,OMH,RIN,N,844,M-10,D-17,W-2,984
HL,CBT,MGF,N,1647,M-10,D-15,W-7,230
WT,RJB,PTB,N,1128,M-10,D-5,W-3,853
RQ,RJB,PQM,N,1901,M-9,D-26,W-2,391
NB,PTV,RTQ,N,1140,M-11,D-16,W-4,248
NB,YPU,SPN,N,730,M-4,D-6,W-4,1101
MH,JNS,TVQ,N,1527,M-11,D-30,W-3,745
TT,HSR,RIN,N,827,M-7,D-28,W-4,802
HH,PFW,PQM,N,1825,M-11,D-9,W-3,269
C6,CWI,DIE,Y,1205,M-12,D-6,W-2,301
TT,JNS,RIN,Y,1713,M-5,D-2,W-2,1372
RQ,PBT,TVQ,N,1132,M-7,D-19,W-3,1919
RQ,TVQ,PQM,N,717,M-3,D-4,W-5,1589
TP,HBV,PJT,N,2112,M-2,D-6,W-1,956
WP,MQV,DTX,N,1126,M-10,D-25,W-3,329
NB,ULX,QTP,N,1300,M-9,D-7,W-3,256
I9,QTP,RJB,N,1318,M-6,D-13,W-2,629
HH,HTE,QTX,N,1651,M-9,D-2,W-6,337
NB,RTQ,QCC,N,1525,M-4,D-26,W-3,293
WP,ULQ,QTP,N,734,M-4,D-22,W-6,2176
VK,ORN,QFT,N,1051,M-4,D-14,W-4,725
BN,RVN,SRW,N,1404,M-5,D-2,W-2,501
BN,OJO,PFI,N,1941,M-9,D-9,W-6,243
OZ,LHW,RIN,N,617,M-6,D-21,W-2,247
AG,YTR,JNS,Y,1540,M-6,D-10,W-6,213
RQ,PIH,TVQ,N,1328,M-10,D-10,W-2,2139
HH,PCT,QTX,N,1350,M-5,D-3,W-2,89
WT,HSR,RJB,Y,1702,M-7,D-7,W-5,888
WP,QTP,CHP,N,1600,M-7,D-6,W-4,2381
RQ,TVQ,JNS,N,1929,M-3,D-3,W-5,745
HH,CYQ,RJB,N,1009,M-7,D-29,W-6,455
RQ,TVQ,VQL,Y,2036,M-10,D-22,W-7,223
MH,YTL,ULX,N,1809,M-1,D-1,W-6,1009
XJ,YTL,MHP,N,2105,M-11,D-11,W-5,809
WT,HSR,CRQ,N,1813,M-10,D-20,W-4,783
RQ,TVQ,HTE,Y,2217,M-6,D-4,W-7,2130
NB,URX,PQM,N,1520,M-6,D-19,W-7,630
TT,OYT,PIH,N,1452,M-12,D-10,W-6,2585
RL,YTR,FPU,Y,2146,M-1,D-23,W-7,383
OZ,MQJ,RIN,N,1657,M-12,D-4,W-7,1021
NB,CWS,POI,N,2000,M-10,D-1,W-7,358
OZ,HSR,QPJ,N,1952,M-5,D-4,W-4,215
WP,CWS,ULX,N,646,M-10,D-27,W-5,369
RQ,TVQ,MLP,N,1046,M-3,D-29,W-2,259
WP,HSI,ULQ,Y,1756,M-10,D-6,W-4,211
RQ,TVQ,DTX,N,1659,M-4,D-4,W-2,270
RQ,HSI,TVQ,N,620,M-7,D-26,W-2,516
WT,ULQ,PIH,Y,941,M-12,D-2,W-6,2521
HL,INT,MGF,N,1258,M-4,D-18,W-1,136
RL,YTR,MSN,N,927,M-3,D-18,W-5,227
HL,MGF,CVG,N,1058,M-2,D-28,W-2,702
WT,PIH,PBT,N,1754,M-2,D-6,W-1,372
OZ,VWQ,RIN,N,1634,M-6,D-23,W-4,237
TP,TBM,ITY,Y,1857,M-11,D-22,W-2,261
TT,HSI,RIN,N,801,M-8,D-21,W-1,1213
HH,QTX,PQM,N,800,M-9,D-29,W-4,590
MH,JNS,OMH,Y,1134,M-12,D-22,W-4,938
LU,PIH,ULX,N,657,M-3,D-9,W-3,651
RQ,PTV,TVQ,N,646,M-9,D-4,W-7,874
HH,HSR,MLP,N,1109,M-10,D-20,W-5,760
HH,POI,PIH,N,1235,M-12,D-7,W-4,86
TP,PJT,ULX,Y,855,M-10,D-31,W-1,1107
NB,PRI,PVQ,Y,2232,M-6,D-6,W-1,254
HH,MUS,RJB,N,1621,M-3,D-28,W-1,230
RQ,MLP,TVQ,N,706,M-3,D-14,W-2,259
RQ,OMH,CRQ,N,828,M-9,D-29,W-4,1050
RQ,MGF,PTV,Y,1714,M-3,D-13,W-7,1024
C6,QFC,DIE,N,845,M-8,D-22,W-2,2465
BN,OPU,SPN,N,1020,M-5,D-10,W-2,1416
XJ,MLP,JNS,N,1650,M-5,D-8,W-1,628
NB,LHW,VWQ,N,2022,M-10,D-24,W-2,453
AG,ULX,ITV,N,1915,M-8,D-14,W-1,493
RQ,TVQ,OYT,N,1158,M-10,D-11,W-2,595
WP,RMT,QFT,N,1056,M-11,D-2,W-3,214
HH,PIH,ITV,N,1247,M-3,D-13,W-1,158
HH,QTX,VWP,N,2030,M-4,D-20,W-4,451
WT,HSR,ULQ,N,2049,M-9,D-20,W-2,678
IQ,SHM,TVQ,Y,1705,M-8,D-18,W-5,749
HL,PAS,MGF,N,1740,M-10,D-26,W-3,527
NB,TWP,RTQ,N,1950,M-5,D-25,W-4,189
NB,VUT,TWP,N,715,M-3,D-6,W-7,928
BN,PBT,OPU,N,1543,M-1,D-13,W-5,1522
XJ,UYV,JNS,N,629,M-11,D-23,W-3,319
NB,CWS,PDM,N,1710,M-11,D-13,W-7,296
JG,TVQ,VWQ,N,1534,M-5,D-30,W-2,674
C6,IQQ,DIE,Y,2243,M-3,D-13,W-1,1069
HH,QTX,ITV,N,2051,M-11,D-6,W-1,209
XJ,FUV,YTL,N,1755,M-1,D-25,W-2,376
HH,SRR,PIH,N,639,M-3,D-20,W-7,199
I9,ULX,RJB,N,1000,M-7,D-23,W-6,602
HH,PIH,JWF,Y,1623,M-5,D-6,W-5,451
TT,RIN,CHP,N,1824,M-4,D-12,W-3,1562
WT,HSR,OYT,Y,2052,M-12,D-11,W-7,1197
HH,OHR,PIH,Y,935,M-6,D-28,W-3,78
RQ,UPM,PQM,N,1310,M-4,D-28,W-4,521
HH,PQM,JWF,N,1135,M-2,D-20,W-1,619
RQ,VQL,TVQ,Y,1551,M-11,D-7,W-2,223
WP,ULX,RJB,N,1811,M-5,D-2,W-2,602
TP,TEB,TBM,Y,2043,M-3,D-20,W-7,289
HL,PAS,MGF,N,947,M-6,D-30,W-4,527
